번호,지역, 시군구,센터명,운영주체별,연락처,주력보육분야,우편번호,주소,상세주소
145,세종특별자치시,장군면,한국영상대학교 창업보육센터,대학,044-850-9222,"방송,영상콘텐츠제작,게임에니메이션,만화콘텐츠, IT",30056,세종특별자치시 장군면 대학길 300,한국영상대학교 진리관 창업보육센터
146,세종특별자치시,조치원읍,홍익대학교 벤처기업창업보육센터,대학,044-860-2802,"컴퓨터정보통신, 멀티미디어디자인",30016,세종특별자치시 조치원읍 세종로 2639,산학협력관 201호
147,부산광역시,남구,경성대학교창업보육센터,대학,051-663-5901,IT/친환경소재,48434,부산광역시 남구 수영로 309,산학협력관(10관) 401호 창업보육센터 행정실
148,부산광역시,남구,동명대학교창업보육센터,대학,051-629-3745,"IT, 제조 기계자동화",48520,부산광역시 남구 신선로 428,(용당동) 학생복지관 404호
149,부산광역시,사상구,동서대Dream.E.Valley,대학,051-320-2071,"IT, 디자인, 디지털콘텐츠, 영화영상",47011,부산광역시 사상구 주례로 47 (주례동),동서대학교 Dream E. Valley 2층 A205호
150,부산광역시,사하구,동아대학교창업보육센터,대학,051-200-6595,"제조, 바이오, IT",49315,부산광역시 사하구 낙동대로550번길 37,동아대학교 산학연구관 301호 창업보육센터 (하단동)
151,부산광역시,부산진구,동의대학교 창업보육센터,대학,051-890-2104,"신소재, 메카트로닉스, 환경 및 IT분야",47340,부산광역시 부산진구 엄광로 176,동의대학교 산학협력관 109호
152,부산광역시,남구,부경대학교 창업보육센터,대학,051-629-5205,"기계/제조, 정보통신, 전기/전자, 부품, 소재, 수산 분야 등",48547,부산광역시 남구 신선로 365,산학협력관 창업보육센터 307호 (용당동)
153,부산광역시,금정구,부산가톨릭대학교창업보육센터,대학,051-519-0320,"환경,제조,IT,의료보건",46265,"부산광역시 금정구 기찰로102번길 56-7, 부산가톨릭대학교 산학교정루카관 4층 409호 (부곡동)",부산가톨릭대학교 산학교정루카관 4층 409호
154,부산광역시,금정구,부산대학교 중소기업창업보육센터,대학,051-510-1357,기계/장비제조업자동차,46241,부산광역시 금정구 부산대학로63번길 2,(장전동)창업보육센터
155,부산광역시,북구,부산이노비즈센터,정부·지자체,051-361-9101,POST-BI,46570,부산광역시 북구 만덕3로16번길 1,(만덕동)101호
156,부산광역시,수영구,부산창업보육미래센터,공공기관·협단체,051-803-8388,"바이오, 의학, IT융복합분야,플랫폼",48212,"부산광역시 수영구 구락로 150, 1층 (망미동)",1층
157,부산광역시,해운대구,영산대학교 지식창업보육센터,대학,051-540-7392,전자상거래 인터넷무역특허및신제품개발,48015,부산광역시 해운대구 반송순환로 142,"M동 9층 9901호실 지식창업보육센터 (반송동,영산대학교)"
158,부산광역시,강서구,중소조선연구원 창업보육센터,연구소,051-974-5503,해양레저산업,46757,부산광역시 강서구 녹산산단232로 38-6,(송정동)
159,부산광역시,부산진구,한국소재융합연구원 창업보육센터,연구소,051-605-3252,신발 및 피혁 부품소재분야,47154,부산광역시 부산진구 당감서로 152,(당감동)
160,부산광역시,북구,한국폴리텍Ⅶ대학 부산캠퍼스 창업보육센터,대학,051-330-7873,"기계,전기,전자,자동화,정보통신",46550,부산광역시 북구 만덕대로155번길 99,(덕천동) 산학협력처 6102호(도서관)
161,부산광역시,영도구,한국해양대학교 해양벤처진흥센터,대학,051-410-4717,"조선, 기자재 , 선박장비, 항만,물류, 해양수산",49112,부산광역시 영도구 태종로 727,(동삼동)
162,울산광역시,남구,울산과학대학교 창업보육센터,대학,052-279-3301,"기계, 전자, 화학",44610,"울산광역시 남구 대학로 57, 창의혁신관 3층 (무거동)",창의혁신관 3층
163,울산광역시,남구,울산대학교 창업보육센터,대학,052-259-1083,"자동차, 조선, 부품, 정밀화학, 에너지, 환경",44610,울산광역시 남구 대학로 93(무거동),울산대학교 산학협동관(35호관) 302호
164,대구광역시,북구,경북대학교창업보육센터,대학,053-950-6195,"전기, 전자, 바이오",41566,대구광역시 북구 대학로 80,(산격동)
165,대구광역시,남구,계명대학교 창업보육센터,대학,053-620-2035,"문화/콘텐츠, 디자인",42403,대구광역시 남구 명덕로 104,(대명동)동산관 143호
166,대구광역시,달서구,계명문화창업보육센터,대학,053-589-7930,문화예술디자인,42601,"대구광역시 달서구 달서대로 675, 계명문화창업보육센터 (신당동)",복지관 3층 7304호 행정실
167,대구광역시,달성군,국가물산업클러스터 창업보육센터,공공기관·협단체,053-601-6145,"물, 환경",43008,"대구광역시 달성군 구지면 국가산단대로40길 20, 국가물산업클러스터 워터캠퍼스 3층",국가물산업클러스터 워터캠퍼스 3층
168,대구광역시,달서구,대구경북중소기업청경북대학교중소기업성장지원센터,정부·지자체,053-626-6195,"IT,전자,기계",42818,"대구광역시 달서구 중흥로 20, 1층 기업지원실 (송현동)",1층 기업지원실
169,대구광역시,달서구,대구공업대학교 창업보육센터,대학,053-560-3764,"전기, 전자, 기계",42734,대구광역시 달서구 송현로 205,대구공업대학교 창업보육센터 403호
170,대구광역시,달서구,대구드림파크 (포스트BI),공공기관·협단체,053-587-7623,신재생에너지 및 기계가공,42702,대구광역시 달서구 성서공단북로 235,(신당동)
171,대구광역시,북구,대구보건대학교 창업보육센터,대학,053-320-1289,"의료기기, 안경, 식품",41453,대구광역시 북구 영송로 15,(태전동)
172,대구광역시,동구,대구스케일업허브(DASH),정부·지자체,053-759-0920,기술창업,41260,"대구광역시 동구 동대구로 465, 신천동 (신천동)",신천동
173,대구광역시,수성구,수성대학교 창업보육센터,대학,053-749-7015,"ICT융복합, 제조분야",42078,"대구광역시 수성구 달구벌대로528길 15, 4층 산학협력단 (만촌동)",4층 산학협력단
174,대구광역시,남구,영남이공대학교창업보육센터,대학,053-650-9479,전기전자 / IT,42415,대구광역시 남구 현충로 170,영남이공대학교 창업보육센터 5층 (대명동)
175,경상북도,울진군,(재)환동해산업연구원 창업보육센터,연구소,054-780-3422,해양바이오 분야,36315,"경상북도 울진군 죽변면 해양과학길 22, (재)환동해산업연구원",(재)환동해산업연구원
176,경상북도,포항시,RIST창업보육센터(리스트),연구소,054-279-6211,"연구개발,기술지원,시제품생산,경영지원 등",37673,경상북도 포항시 남구 청암로 67,(효자동)(RIST 창업보육센터)
177,경상북도,칠곡군,경북과학대학교 창업보육센터,대학,054-972-9730,"바이오식품, 기능성포장재, 기능성안료",39913,경상북도 칠곡군 기산면 지산로 634,산학협력관 101호
178,경상북도,예천군,경북도립대학교창업보육센터,대학,054-650-0151,생물농업분야. 자동화분야,36830,경상북도 예천군 예천읍 도립대학길 114,경북도립대학교 창업보육센터
179,경상북도,영주시,경북전문대학교 창업보육센터,대학,054-630-5006,청년창업,36133,"경상북도 영주시 대학로 77, 영주148아트스퀘어 2층 (휴천동)",영주148아트스퀘어 2층
180,경상북도,구미시,경운대학교창업보육센터,대학,054-479-1146,멀티미디어 컨텐츠 및 가상 현실 영상제작,39160,경상북도 구미시 산동면 강동로 730,창업보육센터
181,경상북도,경산시,경일대학교창업보육센터,대학,053-600-4431,"IT융복합(전기,전자,정보통신), 기계재료,자동차부품",38428,경상북도 경산시 하양읍 가마실길 50,"RnDB센터, 산학협력관"
182,경상북도,구미시,구미대학교 창업보육센터,대학,054-440-1467,"전기,전자,통신,기계분야",39213,경상북도 구미시 야은로 37,(부곡동)
183,경상북도,구미시,구미시 창업보육센터,정부·지자체,054-465-7991,Mechatronix 및 부품소재관련,39374,"경상북도 구미시 1공단로 144, 행정지원실 (공단동)",행정지원실
184,경상북도,구미시,금오공과대학교 창업원 창업보육센터,대학,054-478-6750,"그린에너지, 의료기기, 전기전자, 기계",39177,경상북도 구미시 대학로 61,(양호동) 벤처창업관 313호
185,경상북도,경산시,대경대학교창업보육센터,대학,053-850-1171,CT(Culture Technology) 산업,38547,"경상북도 경산시 자인면 단북1길 65, 대경대학교 창업보육센터",대경대학교 창업보육센터
186,경상북도,경산시,대구가톨릭대학교창업보육센터,대학,053-850-3861,"농공상융합, 식품특성화, 바이오, 생명공학, 의료기기교육",38430,경상북도 경산시 하양읍 하양로 13-13,(금락리) 대구가톨릭대학교 창업보육센터
187,경상북도,영천시,대구대학교 창업보육센터,대학,053-850-5598,"정보통신,기계,바이오",38911,"경상북도 영천시 금호읍 대구대길 333, 창업보육센터2호관 1119호 행정실",창업보육센터2호관 1119호 행정실
188,경상북도,경산시,대구한의대학교 한방바이오창업보육센터,대학,053-819-1717,한방바이오산업,38578,경상북도 경산시 어봉지길 285-10,산학협력관 111호 창업보육센터
189,경상북도,경주시,동국대학교벤처창업보육센터(경주),대학,054-770-2853,"신성장동력(신재생에너지, IT융복합)",38066,경북 경주시 동대로 123,동국대학교경주캠퍼스 산학협력단 벤처창업보육센터
190,경상북도,영주시,동양대학교창업보육센터,대학,054-630-1309,농공상융합,36040,경북 영주시 풍기읍 동양대로  145,동양대학교 창업보육센터
191,경상북도,경주시,서라벌창업보육센터,대학,054-770-3538,"신재생, IT창업",38063,"경상북도 경주시 태종로 516, 서라벌대학교 (충효동)",서라벌대학교 공학2관
192,경상북도,안동시,안동대학교 창업지원센터,대학,054-820-7415,"식품, 바이오",36729,경북 안동시 경동로 1375,안동대학교 창업지원센터
193,경상북도,경산시,영남대학교 창업보육센터,대학,053-810-4738,전자부품소재,38541,경북 경산시  대학로 280,영남대학교 CRC센터 309호
194,경상북도,칠곡군,영진전문대학교 창업보육센터,대학,054-970-9501,기계/전자 제조,39866,"경상북도 칠곡군 지천면 금송로 60, 영진전문대학교 글로벌캠퍼스 토탈테크노관(2관) 4층",영진전문대학교 글로벌캠퍼스 토탈테크노관(2관) 4층
195,경상북도,경주시,위덕대창업보육센터,대학,054-760-1072,IT업종 및 친환경 전기에너지 관련 기업보육,38004,경상북도 경주시 강동면 동해대로 261,산학협력단 (성취관109호)
196,경상북도,포항시,포항공과대학교 기술지주 창업보육센터,대학,054-289-3803,"바이오/의료, IT, 신소재",37673,경상북도 포항시 남구 청암로 77 (지곡동),포항공과대학교 창업보육센터 무은재기념관 208호
197,경상북도,포항시,포항대학교창업보육센터,대학,054-245-1043,정보통신기반기술식품개발사업 해양환경기술관광마케팅 정보통신기반기술,37555,경상북도 포항시 북구 흥해읍 신덕로 60 (양덕동),경북 포항시 북구 흥해읍 신덕로 60 창업보육센터
198,경상북도,포항시,한동대학교창업보육센터,대학,054-260-1443,"정보통신, 청년창업 분야, 바이오",37554,경상북도 포항시 북구 흥해읍 한동로 558,한동대학교 창업보육센터 행정실
199,경상남도,진주시,(재)진주바이오산업진흥원 창업보육센터,공공기관·협단체,055-762-9831,바이오분야,52839,경상남도 진주시 문산읍 월아산로 991,진주바이오산업진흥원 창업보육센터
200,경상남도,창원시,경남대학교 창업보육관,대학,055-249-2906,"화학, IT, 일반제조 등",51734,경상남도 창원시 마산합포구 3·15대로 298,(서성동)
201,경상남도,거창군,경남도립거창대학디자인창업보육센터,대학,055-254-2756,"항노화(농산물)분야, 드론분야",50147,경상남도 거창군 거창읍 거창대학로 72,창업보육센터
202,경상남도,진주시,경상국립대학교 창업보육센터,대학,055-772-2602,기계.장비제조,52828,경상남도 진주시 진주대로 501,(가좌동)
203,경상남도,진주시,경상국립대학교 칠암창업보육센터,대학,055-772-3534,생명공학 및 메카트로닉스 분야,52725,경상남도 진주시 동진로 33,산학협력관 창업보육센터 2층 204호 (칠암동)
204,경상남도,창원시,경상남도창업보육센터(GNBI),정부·지자체,055-291-9374,IT 및  S/W,51347,경상남도 창원시 마산회원구 봉암북7길 21,(봉암동)
205,경상남도,양산시,동원과학기술대학교창업보육센터,대학,055-370-8052,"기계, 장비제조",50578,경상남도 양산시 명곡로 321,(명곡동)창업보육센터 2층 2204호
206,경상남도,창원시,로봇창업보육센터,테크노파크·창조경제혁신센터,055-272-0830,"로봇,기계,IT",51787,"경상남도 창원시 마산합포구 진북면 산단2길 132, (재)경남테크노파크 제조로봇기술센터",(재)경남테크노파크 제조로봇기술센터
207,경상남도,창원시,마산대학교 창업지원센터,대학,055-230-1255,"스마트제조, 바이오헬스, 웰니스",51217,경상남도 창원시 마산회원구 내서읍 함마대로 2640,창업보육센터
208,경상남도,밀양시,부산대학교 밀양캠퍼스 창업보육센터,대학,055-350-5238,기계장비  IT분야 바이오,50463,경상남도 밀양시 삼랑진읍 삼랑진로,1268-50
209,경상남도,양산시,부산대학교 양산캠퍼스 스마트바이오 창업보육센터,대학,051-510-8522,"바이오, ICT, 나노융합",50612,"경상남도 양산시 물금읍 부산대학로 49, 부산대학교 양산캠퍼스 첨단의생명융합센터 204호",부산대학교 양산캠퍼스 첨단의생명융합센터 204호
210,경상남도,진주시,세라믹스창업보육센터,연구소,055-792-2766,세라믹,52851,경상남도 진주시 소호로 109,(충무공동 15-3)
211,경상남도,양산시,영산대학교그린창업보육센터,대학,055-380-9104,그린산업(친환경 수송기계부품 및 IT융복합),50510,경상남도 양산시 주남로 288,(주남동)
212,경상남도,김해시,인제대김해창업보육센터,대학,055-320-3781,"기계, 바이오 산업",50834,경상남도 김해시 인제로 197,(어방동) 창조관 416호
213,경상남도,창원시,창신대학교 창업보육센터,대학,055-250-3076,"스마트융합(ICT, 항공·기계, 소방), 헬스케어",51352,"경상남도 창원시 마산회원구 팔용로 262, 제3호관 5층, 창업보육센터 (합성동)","제3호관 5층, 창업보육센터"
214,경상남도,창원시,창원대학교 창업보육센터,대학,055-213-2965,메카트로닉스관련 제조업,51140,경상남도 창원시 의창구 창원대학로 20,82호관 324호
215,경상남도,창원시,창원문성대학교 창업지원단 창업보육센터,대학,055-279-5047,기계(장비) 제조 및 IT(소프트웨어 개발),51410,경상남도 창원시 의창구 충혼로 91,벤처창업관 1층 창업보육센터
216,경상남도,창원시,한국전기연구원 기술창업센터,연구소,055-280-1190,전기전자 정보통신,51542,"경상남도 창원시 성산구 전기의길 10, 창업보육센터 (성주동)",창업보육센터
217,전라남도,광양시,광양보건대학교창업보육센터,대학,061-760-1517,"환경, 화학, 금속, 디자인,IT",57764,"전라남도 광양시 광양읍 대학로 85, 광양보건대학교 등용관 창업보육센터",광양보건대학교 등용관 창업보육센터
218,전라남도,장성군,나노융합의료부품소재창업보육센터,공공기관·협단체,061-399-0506,"나노바이오초임계추출, 의료기기, 화장품",57248,"전라남도 장성군 남면 나노산단로 123, 나노바이오연구센터",나노바이오연구센터
219,전라남도,나주시,동신대학교 창업보육센터,대학,061-330-2951,"에너지, 바이오, 서비스",58245,"전라남도 나주시 동신대길 34-15, 산학협력관 211호창업보육센터 (대호동)",산학협력관 211호창업보육센터
220,전라남도,무안군,목포대학교 창업보육센터,대학,061-450-6259,"식품가공, 기계장비 제조업",58554,전라남도 무안군 청계면 영산로 1666,목포대학교 창업보육센터 102호
221,전라남도,목포시,목포수산식품지원센터 창업보육센터,공공기관·협단체,061-276-1674,수산 가공식품,58621,전라남도 목포시 고하대로719번길 52,(연산동)생산동 2층 생산경영관리실
222,전라남도,목포시,목포해양대학교 창업보육센터,대학,061-240-7135,해양기자재 제조업,58628,전라남도 목포시 해양대학로 91,목포해양대학교 창업보육센터
223,전라남도,곡성군,바이오융합 창업보육센터(친환경),공공기관·협단체,061-363-8991,"곤충, 미생물, 농생명 관련 분야",57509,전라남도 곡성군 입면 입면로 437,바이오융합 창업보육센터
224,전라남도,순천시,순천대창업보육센터,대학,061-750-3850,"시스템,소재",57922,"전라남도 순천시 중앙로 255, 순천대학교 국제문화컨벤션관 310호 창업보육센터",순천대학교 창업보육센터
225,전라남도,여수시,전남대학교 여수창업보육센터,대학,061-659-6977,바이오 환경 산업,59626,전라남도 여수시 대학로 50,(둔덕동) 산학연구관 514호
226,전라남도,담양군,전남도립대학교 창업보육센터,대학,061-380-8617,ICT융합 녹색산업,57337,전라남도 담양군 담양읍 죽녹원로 152,전남도립대학교 창업보육센터
227,전라남도,강진군,전남환경산업진흥원창업보육센터,공공기관·협단체,061-430-8360,"환경산업(신재생,수질,대기,폐기물 등)",59205,전라남도 강진군 성전면 강진산단로1길 1,전라남도환경산업진흥원
228,전라남도,장흥군,천연소재실용화 창업보육센터(천연자원),공공기관·협단체,061-860-2641,"천연자원을 활용한 건강식품, 의약품 및 기타 가공산업분야",59315,전라남도 장흥군 장흥읍 산단1로 50,천연자원연구원 창업보육센터
229,전라남도,나주시,한국전력 창업보육센터,공공기관·협단체,061-345-7746,에너지신산업(기존 전력분야 포함),58324,전라남도 나주시 그린로 370 (빛가람동),2층 (빛가람동)
230,광주광역시,북구,광주과학기술원 기술사업화센터,대학,062-715-2596,"AI, 드론, 4차산업, 에너지",61005,광주광역시 북구 첨단과기로 123  (오룡동),첨단과기로 123(오룡동) 광주과학기술원 기업지원센터
231,광주광역시,남구,광주대학교창업보육센터,대학,062-670-2699,"소방공사,탈취기,대기환경정보표시장치,컴팩트인풋디바이스,통합유지보수솔루션,소프트웨어개발,공기청정기등",61743,광주광역시 남구 효덕로 277,(진월동)
232,광주광역시,광산구,광주드림파크 (포스트BI),공공기관·협단체,062-952-2971,기계전기전자,62215,광주광역시 광산구 하남산단천변좌로 19,(오선동)
233,광주광역시,광산구,남부대학교 창업보육센터,대학,062-970-0086,부품소재,62271,광주광역시 광산구 남부대길 38,남부대 창업보육센터
234,광주광역시,북구,동강대학교창업보육센터,대학,062-520-2581,"광산업,  IT산업, 녹색산업",61200,"광주광역시 북구 동문대로 50, 동강대학교 산학협력관 (두암동)",동강대학교 산학협력관
235,광주광역시,남구,송원대학교창업보육센터,대학,062-360-5586,"기계자동차, 에너지, 전기전자",61756,광주광역시 남구 송암로 73,청솔관 2층
236,광주광역시,북구,전남대학교 창업보육센터,대학,062-530-1970,바이오환경 신소재개발 IT분야,61186,광주 북구  용봉로 77,지앤알허브 420호
237,광주광역시,동구,조선대학교창업보육센터,대학,062-230-7667,"바이오, 광산업, 첨단부품 소재, 전자부품",61452,광주광역시 동구 필문대로 309,(서석동)
238,광주광역시,광산구,호남대창업보육센터,대학,062-940-5622,"AI산업, 미래자동차, 에너지신산업",62399,"광주광역시 광산구 호남대길 47, 호남대학교 창업보육센터(현명관 5호관 3층) 5313호 행정지원실 (서봉동)",호남대학교 창업보육센터(현명관 5호관 3층) 5313호 행정지원실
239,전라북도,군산시,군산대학교 창업보육센터,대학,063-469-4890,"제조업, IT, 해양",54150,전라북도 군산시 대학로 558,(미룡동)
240,전라북도,전주시,바이오플렉스(Bio Plex) 창업보육센터,공공기관·협단체,063-210-6563,"바이오, 식품",54810,전라북도 전주시 덕진구 원장동길 111-18,(장동)452-69
241,전라북도,전주시,에코인쇄전자창업보육센터,연구소,063-219-0004,"유연인쇄전자. 디스플레이, 반도체, 자동차 전장, 신재쟁, IoT",54853,전라북도 전주시 덕진구 반룡로 111,(팔복동2가) 한국전자기술연구원 에코인쇄전자창업보육센터
242,전라북도,익산시,에코파이버 창업보육센터,연구소,063-830-3589,"섬유, 패션, 융복합소재",54588,"전라북도 익산시 서동로 594, 에코융합섬유연구원 에코파이버 창업보육센터 (석암동) (석암동)",에코융합섬유연구원 에코파이버 창업보육센터 (석암동)
243,전라북도,완주군,우석대학교 창업보육센터,대학,063-290-1285,"소프트웨어개발,디자인",55338,전라북도 완주군 삼례읍 삼례로 443,우석대학교 본관 7층 716호 창업보육센터
244,전라북도,익산시,원광대학교 IT·BT창업보육센터,대학,063-850-7454,Information Technology Biotech Technology,54538,전라북도 익산시 익산대로 460 원광대학교,창업보육센터
245,전라북도,익산시,익산창업보육센터,공공기관·협단체,063-841-7480,"홀로그램, 에너지, IT",54630,전라북도 익산시 동서로 370(영등동),익산종합비즈니스센터 6층
246,전라북도,정읍시,전북과학대학교창업보육센터,대학,063-530-9234,"메카트로닉스, 농생명, 문화관광, 정보통신",56204,전라북도 정읍시 정읍사로 509,(시기동)
247,전라북도,전주시,전북대창업보육센터,대학,063-270-4256,"전기전자 메카트로닉스. 식품생물, 녹색 신성장동력",54896,전라북도 전주시 덕진구 백제대로 567,(금암동)
248,전라북도,전주시,전주대학교 창업보육센터,대학,063-220-2845,"IT, BT, CT",55069,"전라북도 전주시 완산구 천잠로 303, 벤처창업관 (효자동2가)",벤처창업관
249,전라북도,전주시,전주비전대학교창업보육센터,대학,063-220-3738,"전기, 전자, 신재생에너지",55069,"전라북도 전주시 완산구 천잠로 235, 실습동 212호 , 전주비전대학교 창업보육센터 (효자동2가)","실습동 212호 , 전주비전대학교 창업보육센터"
250,전라북도,전주시,탄소융합부품소재창업보육센터,공공기관·협단체,063-219-3682,"탄소융합부품소재, 탄소복합소재",54853,"전라북도 전주시 덕진구 원만성로 106, 탄소융합부품소재 창업보육센터 (팔복동2가)",탄소융합부품소재 창업보육센터
251,전라북도,전주시,한국농수산대학교 창업보육센터,대학,063-238-9751,"농생명 ICT, 스마트팜, 농수산물 가공 및 연구개발, 관련분야 전후방산업",54874,"전라북도 전주시 덕진구 콩쥐팥쥐로 1515, 한국농수산대학교 창업보육센터 (중동)",한국농수산대학교 창업보육센터
252,전라북도,군산시,호원대학교창업보육센터,대학,063-450-7178,"IoT융합,부품,센서",54058,전라북도 군산시 임피면 호원대3길 64,호원대학교 산학협력관 301호 창업보육센터
253,전라북도,전주시,희망전북 POST-BI,정부·지자체,063-211-7600,"광, 기계, 전자",54882,전라북도 전주시 덕진구 상리1길 34,(팔복동2가)
254,제주특별자치도,제주시,제주관광대학창업보육센터,대학,064-740-8857,"청정헬스푸드형 식품기업및 향장품, 디자인,영상, 4차산업(IOT)",63063,제주특별자치도 제주시 애월읍 평화로 2715,창업보육센터
255,제주특별자치도,제주시,제주국제대학교창업보육센터,대학,064-754-0269,"신항공산업, 지능형관관컨텐츠, 스마트그리드, 정보통신, 4차산업혁명기업",63309,제주특별자치도 제주시 516로 2870,(영평동)제주국제대학교
256,제주특별자치도,제주시,제주대학교 창업보육센터,대학,064-752-4413,바이오/환경,63169,제주특별자치도 제주시 중앙로14길 21,제주대학교 창업보육센터터 2층 행정실 (삼도이동)
257,제주특별자치도,제주시,제주한라대학교창업보육센터,대학,064-741-7470,정보기술  및 생명공학,63092,"제주특별자치도 제주시 한라대학로 38, 노형동 (노형동)",노형동
